EngineID,Cycle,OpSetting1,OpSetting2,OpSetting3,T2,T24,T30,T50,P2,P15,P30,Nf,Nc,epr,Ps30,phi,NRf,NRc,BPR,farB,htBleed,Nf_dmd,PCNfR_dmd,W31,W32,RUL
-1.728,-1.420,0.827,-1.032,0.000,0.000,-0.802,-1.431,-0.921,-1.000,0.142,1.325,-0.657,-0.708,0.000,-1.465,-0.018,-1.198,-0.166,-0.217,-1.000,-0.782,0.000,0.000,0.685,1.746,181.000
-1.728,-1.405,0.736,0.674,0.000,0.000,-1.242,-1.160,-0.976,-1.000,0.142,1.302,-0.094,-0.719,0.000,-1.352,0.524,-1.059,-0.498,-1.289,-1.000,-1.427,0.000,0.000,1.348,0.705,180.000
-1.728,-1.391,-0.865,1.357,0.000,0.000,0.778,-1.359,-0.900,-1.000,0.142,0.082,0.329,-0.834,0.000,-0.603,0.592,-0.225,-0.821,-0.718,-1.000,-0.136,0.000,0.000,0.629,-0.129,179.000
-1.728,-1.376,0.416,-0.008,0.000,0.000,-0.662,0.396,-1.086,-1.000,0.142,1.257,-0.094,-0.809,0.000,-0.379,0.348,-1.337,-0.489,-1.220,-1.000,-0.136,0.000,0.000,2.012,0.858,178.000
-1.728,-1.362,-0.819,-1.032,0.000,0.000,-0.502,-1.093,-0.756,-1.000,0.142,0.308,0.188,-0.590,0.000,-0.903,1.473,-0.225,-0.849,-0.593,-1.000,-1.427,0.000,0.000,0.961,0.557,177.000
-1.728,-1.347,0.278,1.698,0.000,0.000,-1.102,-0.415,-0.493,-1.000,0.142,0.647,-0.657,-0.720,0.000,-1.128,0.104,-0.364,-0.401,-1.294,-1.000,-0.782,0.000,0.000,0.851,1.527,176.000
-1.728,-1.333,0.095,0.674,0.000,0.000,-0.202,-0.907,-0.998,-1.000,0.142,0.488,-0.516,-0.467,0.000,-1.577,0.646,-0.781,-0.340,0.321,-1.000,-0.782,0.000,0.000,-0.035,0.390,175.000
-1.728,-1.318,-1.413,-0.349,0.000,0.000,-0.122,0.084,-1.424,-1.000,0.142,0.940,-0.657,-0.711,0.000,-1.240,0.470,-0.364,-0.578,-1.049,-1.000,-0.782,0.000,0.000,0.408,1.007,174.000
-1.728,-1.304,1.467,-1.032,0.000,0.000,-1.782,-0.483,-0.954,-1.000,0.142,0.918,-0.798,-0.510,0.000,-0.529,0.646,-0.920,-0.767,-0.268,-1.000,-1.427,0.000,0.000,-0.090,0.524,173.000
-1.728,-1.289,-1.688,0.333,0.000,0.000,0.718,-1.535,-0.412,-1.000,0.142,1.630,-0.657,-0.876,0.000,-1.203,0.890,-1.059,-0.736,-0.564,-1.000,-0.782,0.000,0.000,1.183,1.222,172.000
-1.728,-1.275,-0.545,0.333,0.000,0.000,-0.622,-0.726,-1.200,-1.000,0.142,0.805,0.188,-0.774,0.000,-1.465,1.365,-0.225,-0.510,-0.993,-1.000,-0.782,0.000,0.000,1.514,0.188,171.000
-1.728,-1.260,0.095,-0.008,0.000,0.000,0.178,0.393,-0.929,-1.000,0.142,0.296,-0.798,-0.183,0.000,-1.128,0.795,-0.920,-0.699,-1.033,-1.000,-0.782,0.000,0.000,0.574,0.827,170.000
-1.728,-1.246,1.559,-1.032,0.000,0.000,-1.082,-0.381,-1.576,-1.000,0.142,0.692,-0.657,-0.859,0.000,-1.090,0.144,-0.642,-0.831,-0.484,-1.000,-0.782,0.000,0.000,0.685,1.538,169.000
-1.728,-1.231,-0.453,1.016,0.000,0.000,-0.602,0.050,-1.125,-1.000,0.142,0.138,0.329,-0.973,0.000,-0.379,0.972,-0.920,-0.518,-1.414,-1.000,-0.782,0.000,0.000,1.017,0.738,168.000
-1.728,-1.217,1.056,-1.373,0.000,0.000,0.178,0.583,-1.060,-1.000,0.142,0.714,-1.080,-0.502,0.000,-0.678,1.555,-1.059,-0.374,-1.345,-1.000,-0.136,0.000,0.000,0.740,1.285,167.000
-1.728,-1.202,0.004,0.674,0.000,0.000,-1.042,-0.235,-1.429,-1.000,0.142,0.839,-0.375,-0.821,0.000,-1.053,1.175,-0.503,-0.661,-0.431,-1.000,0.510,0.000,0.000,0.242,1.157,166.000
-1.728,-1.188,-0.545,-1.373,0.000,0.000,-0.482,-0.009,-0.788,-1.000,0.142,0.793,-1.080,-0.783,0.000,-0.641,0.795,0.471,-0.480,-1.001,-1.000,-0.136,0.000,0.000,0.961,1.455,165.000
-1.728,-1.173,-1.093,1.698,0.000,0.000,-0.662,-1.253,-1.089,-1.000,0.142,1.483,0.329,-0.698,0.000,-0.491,1.568,-0.225,-0.862,-0.263,-1.000,-2.073,0.000,0.000,1.072,-0.052,164.000
-1.728,-1.159,0.553,-0.349,0.000,0.000,-1.542,-0.929,-0.883,-1.000,0.142,0.997,-0.657,-0.669,0.000,-1.128,1.351,-0.503,-0.561,-0.620,-1.000,-0.136,0.000,0.000,0.629,0.647,163.000
-1.728,-1.144,-1.002,-0.008,0.000,0.000,-0.962,0.489,-1.428,-1.000,0.142,1.132,-0.375,-0.889,0.000,-0.529,1.053,-1.337,-0.309,-0.950,-1.000,-2.073,0.000,0.000,1.293,1.121,162.000
-1.728,-1.130,0.644,1.698,0.000,0.000,-1.322,-1.035,-1.337,-1.000,0.142,0.861,-0.235,-0.293,0.000,-0.491,0.727,-0.503,-0.968,-0.846,-1.000,-0.782,0.000,0.000,0.685,0.421,161.000
-1.728,-1.115,0.233,-1.032,0.000,0.000,-0.702,0.140,-0.953,-1.000,0.142,1.799,-0.798,-0.646,0.000,-1.090,0.687,-0.364,-0.737,-0.729,-1.000,-0.782,0.000,0.000,1.127,1.942,160.000
-1.728,-1.101,-1.916,-1.373,0.000,0.000,0.058,-0.346,-0.723,-1.000,0.142,1.404,-0.798,-0.820,0.000,-0.978,0.673,-0.225,-0.489,-1.782,-1.000,-0.782,0.000,0.000,0.076,0.563,159.000
-1.728,-1.086,0.690,-0.349,0.000,0.000,-0.282,-1.477,-0.939,-1.000,0.142,1.053,-0.939,-0.851,0.000,-0.266,0.388,-0.086,-0.899,-0.193,-1.000,-0.782,0.000,0.000,-0.035,0.180,158.000
-1.728,-1.072,0.141,0.674,0.000,0.000,-0.482,-0.085,-0.659,-1.000,0.142,1.053,-0.798,-0.882,0.000,-0.866,0.456,-1.198,-0.188,0.023,-1.000,-1.427,0.000,0.000,1.736,1.170,157.000
-1.728,-1.057,-0.179,-0.690,0.000,0.000,-0.282,-1.436,-0.377,-1.000,0.142,1.313,-1.221,-0.937,0.000,-1.090,1.229,-0.781,-0.591,-0.468,-1.000,-0.782,0.000,0.000,0.242,1.303,156.000
-1.728,-1.043,-0.179,-0.008,0.000,0.000,-1.382,-1.862,-1.115,-1.000,0.142,1.426,-0.375,-0.444,0.000,-0.940,1.188,-0.781,-0.619,-0.745,-1.000,-0.782,0.000,0.000,0.961,1.344,155.000
-1.728,-1.028,-0.819,-0.690,0.000,0.000,-1.502,-0.151,-1.048,-1.000,0.142,1.505,-0.235,-0.452,0.000,-1.015,1.365,-0.225,-0.374,-0.702,-1.000,-0.782,0.000,0.000,1.348,1.728,154.000
-1.728,-1.013,-1.368,-0.349,0.000,0.000,-1.342,-1.193,-0.916,-1.000,0.142,0.680,-1.080,-0.611,0.000,-1.577,1.107,-0.642,-0.626,-0.750,-1.000,-0.782,0.000,0.000,-0.643,0.741,153.000
-1.728,-0.999,0.004,-1.373,0.000,0.000,-0.882,-1.377,-0.796,-1.000,0.142,1.358,-0.516,-0.555,0.000,-0.791,0.578,-1.198,-0.667,-1.700,-1.000,-0.782,0.000,0.000,0.131,0.806,152.000
-1.728,-0.984,1.513,1.357,0.000,0.000,-0.562,0.128,-0.636,-1.000,0.142,0.398,-0.516,-0.736,0.000,-1.689,0.890,-0.920,-0.297,-0.137,-1.000,-0.782,0.000,0.000,1.736,1.429,151.000
-1.728,-0.970,0.233,-1.373,0.000,0.000,-1.122,-0.956,-0.839,-1.000,0.142,0.647,-0.235,-0.371,0.000,-0.192,1.107,-0.642,-0.675,-0.758,-1.000,-0.782,0.000,0.000,1.017,0.788,150.000
-1.728,-0.955,-1.230,1.698,0.000,0.000,-0.882,0.163,-0.320,-1.000,0.142,0.353,-0.939,-0.333,0.000,-0.828,1.799,-0.086,-0.867,-0.942,-1.000,-0.782,0.000,0.000,0.961,0.232,149.000
-1.728,-0.941,-0.042,0.674,0.000,0.000,-1.502,-0.584,-0.859,-1.000,0.142,0.884,-0.798,-0.832,0.000,-0.341,1.202,-1.337,-0.645,-0.588,-1.000,-0.782,0.000,0.000,1.348,1.715,148.000
-1.728,-0.926,-0.590,-0.008,0.000,0.000,-0.302,-1.322,-1.086,-1.000,0.142,0.522,-0.235,-0.223,0.000,-0.341,0.429,-0.642,-0.810,-0.860,-1.000,-0.136,0.000,0.000,-0.145,0.966,147.000
-1.728,-0.912,0.141,0.333,0.000,0.000,-0.502,-0.364,-0.851,-1.000,0.142,0.443,-0.516,-0.220,0.000,-1.277,0.822,-0.225,-0.789,-1.185,-1.000,-0.136,0.000,0.000,0.629,0.783,146.000
-1.728,-0.897,0.004,1.698,0.000,0.000,-0.942,-1.664,-0.672,-1.000,0.142,1.144,-0.516,-0.598,0.000,-1.203,0.578,-0.642,-0.920,-1.196,-1.000,-0.782,0.000,0.000,0.961,1.825,145.000
-1.728,-0.883,0.873,0.333,0.000,0.000,-1.582,-0.328,-1.086,-1.000,0.142,0.737,-0.235,-0.905,0.000,-0.529,0.673,-0.503,-0.721,-0.121,-1.000,-0.782,0.000,0.000,0.685,0.696,144.000
-1.728,-0.868,-0.636,1.698,0.000,0.000,-0.902,-1.007,-1.241,-1.000,0.142,0.974,-0.375,-0.661,0.000,-1.203,-0.059,-0.781,-0.434,-0.721,-1.000,-0.782,0.000,0.000,1.348,1.479,143.000
-1.728,-0.854,-1.459,-0.349,0.000,0.000,0.178,-0.332,-0.590,-1.000,0.142,0.624,-0.516,-0.754,0.000,-0.266,1.243,-0.086,-0.862,-0.814,-1.000,-0.782,0.000,0.000,0.187,1.117,142.000
-1.728,-0.839,-0.453,1.016,0.000,0.000,0.258,-0.813,-0.946,-1.000,0.142,0.409,-1.080,-0.822,0.000,-1.577,0.673,-0.642,-0.492,0.220,-1.000,-0.136,0.000,0.000,0.685,0.696,141.000
-1.728,-0.825,0.827,-0.349,0.000,0.000,0.158,-1.101,-1.485,-1.000,0.142,-0.370,-0.798,-0.418,0.000,-1.764,0.931,-0.364,-0.573,0.313,-1.000,-1.427,0.000,0.000,1.017,0.454,140.000
-1.728,-0.810,0.964,-0.349,0.000,0.000,-0.142,-1.746,-0.741,-1.000,0.142,0.895,-0.657,-0.638,0.000,-0.940,0.741,-0.503,-0.491,-0.009,-1.000,-0.782,0.000,0.000,0.463,0.811,139.000
-1.728,-0.796,-0.087,1.698,0.000,0.000,-0.522,0.337,-0.859,-1.000,0.142,0.658,-0.798,-0.405,0.000,-0.603,1.392,-0.503,-0.724,-0.620,-1.000,-0.782,0.000,0.000,0.795,-0.507,138.000
-1.728,-0.781,0.416,-0.008,0.000,0.000,-0.542,-0.909,-0.817,-1.000,0.142,1.223,-0.798,-0.738,0.000,-0.529,0.944,-1.059,-0.506,-0.934,-1.000,-0.782,0.000,0.000,1.348,0.619,137.000
-1.728,-0.767,0.324,-0.690,0.000,0.000,-0.382,-0.684,-0.908,-1.000,0.142,0.692,-1.221,-1.034,0.000,-1.053,1.446,-0.781,-0.438,-1.065,-1.000,-1.427,0.000,0.000,-0.754,0.472,136.000
-1.728,-0.752,-1.505,-0.008,0.000,0.000,-1.102,-1.118,-0.683,-1.000,0.142,0.059,-0.657,-0.654,0.000,-0.940,0.280,-0.225,-0.434,-0.423,-1.000,-0.782,0.000,0.000,0.131,0.619,135.000
-1.728,-0.738,-0.636,0.333,0.000,0.000,-1.562,-0.010,-1.216,-1.000,0.142,0.873,-0.094,-0.675,0.000,-1.053,1.080,-0.781,-0.612,-0.273,-1.000,-2.073,0.000,0.000,0.629,-0.004,134.000
-1.728,-0.723,-0.270,0.674,0.000,0.000,-0.702,1.011,-0.603,-1.000,0.142,1.415,-0.375,-0.688,0.000,-1.053,-0.127,-1.059,-0.783,0.145,-1.000,-0.782,0.000,0.000,0.574,1.429,133.000
-1.728,-0.709,-0.453,-0.690,0.000,0.000,-0.682,-1.268,-0.652,-1.000,0.142,0.714,-0.516,-0.614,0.000,-0.491,1.460,-0.920,-0.569,-1.449,-1.000,-0.136,0.000,0.000,0.408,0.899,132.000
-1.728,-0.694,0.187,1.698,0.000,0.000,-1.162,-1.137,-0.379,-1.000,0.142,0.816,0.188,-0.664,0.000,-0.866,1.256,-0.086,-0.634,-0.420,-1.000,-1.427,0.000,0.000,0.408,0.684,131.000
-1.728,-0.680,0.187,0.333,0.000,0.000,-1.022,-1.457,-1.044,-1.000,0.142,1.223,0.047,-0.526,0.000,-0.978,1.053,0.054,-0.601,-0.934,-1.000,-1.427,0.000,0.000,1.183,-0.176,130.000
-1.728,-0.665,0.690,0.674,0.000,0.000,-0.162,0.264,-1.506,-1.000,0.142,0.127,-0.516,-0.692,0.000,-0.117,0.199,-1.198,-0.683,-0.172,-1.000,0.510,0.000,0.000,-0.256,0.498,129.000
-1.728,-0.651,0.781,0.674,0.000,0.000,-0.902,-0.981,-0.980,-1.000,0.142,0.579,0.047,-0.977,0.000,-0.341,0.551,-0.781,-0.818,-0.948,-1.000,-1.427,0.000,0.000,0.629,0.871,128.000
-1.728,-0.636,0.004,1.698,0.000,0.000,-0.802,-0.947,-0.633,-1.000,0.142,0.680,-0.939,-0.962,0.000,0.071,0.172,0.471,-0.567,-0.041,-1.000,-0.782,0.000,0.000,0.463,0.790,127.000
-1.728,-0.621,-0.316,-1.373,0.000,0.000,-0.362,-0.330,-1.046,-1.000,0.142,0.714,-0.516,-0.262,0.000,-1.502,0.470,-0.642,-0.809,-1.361,-1.000,-1.427,0.000,0.000,0.740,0.236,126.000
-1.728,-0.607,0.736,-1.373,0.000,0.000,-0.702,-0.049,-0.657,-1.000,0.142,1.065,0.047,-0.679,0.000,-0.566,1.663,-0.225,-0.508,-1.324,-1.000,-0.136,0.000,0.000,0.851,0.012,125.000
-1.728,-0.592,-0.819,-0.008,0.000,0.000,-0.342,-1.380,-0.502,-1.000,0.142,0.760,0.047,-0.610,0.000,-0.678,0.416,-0.364,-0.596,-0.478,-1.000,-0.782,0.000,0.000,0.740,0.256,124.000
-1.728,-0.578,-1.002,1.698,0.000,0.000,-0.482,0.029,-0.855,-1.000,0.142,1.449,-0.375,-0.664,0.000,-0.491,1.094,0.054,-0.767,-0.345,-1.000,-0.782,0.000,0.000,1.017,0.781,123.000
-1.728,-0.563,-0.225,0.674,0.000,0.000,-0.922,-1.061,-0.684,-1.000,0.142,0.726,0.188,-0.535,0.000,-0.491,0.700,0.332,-0.702,-0.380,-1.000,-0.782,0.000,0.000,0.242,1.493,122.000
-1.728,-0.549,0.736,-1.032,0.000,0.000,-0.942,-1.650,-0.649,-1.000,0.142,0.782,-0.939,-0.867,0.000,-0.903,0.416,-0.086,-0.497,-0.510,-1.000,-1.427,0.000,0.000,-0.090,0.909,121.000
-1.728,-0.534,-0.773,0.333,0.000,0.000,-0.542,-1.839,-0.236,-1.000,0.142,0.443,-0.375,-0.490,0.000,-1.015,0.755,-0.086,-0.514,-1.254,-1.000,-1.427,0.000,0.000,0.131,0.174,120.000
-1.728,-0.520,-0.545,-0.690,0.000,0.000,-0.782,0.247,-1.223,-1.000,0.142,0.579,-0.939,-0.707,0.000,-0.940,0.849,0.054,-0.729,-1.017,-1.000,-1.427,0.000,0.000,1.183,0.996,119.000
-1.728,-0.505,1.238,0.333,0.000,0.000,0.558,-0.958,-0.828,-1.000,0.142,0.748,-0.375,-0.878,0.000,0.145,1.134,-1.754,-0.581,-0.764,-1.000,-0.782,0.000,0.000,-0.090,0.853,118.000
-1.728,-0.491,0.416,-1.373,0.000,0.000,-1.442,-1.338,-1.568,-1.000,0.142,0.262,-0.375,-1.038,0.000,-1.203,0.483,0.193,-0.714,0.532,-1.000,-0.782,0.000,0.000,0.408,0.576,117.000
-1.728,-0.476,-0.682,0.674,0.000,0.000,-0.942,-0.214,-1.110,-1.000,0.142,0.330,-1.080,-0.394,0.000,-0.379,0.226,-0.920,-0.383,-1.134,-1.000,-2.073,0.000,0.000,1.127,1.414,116.000
-1.728,-0.462,1.010,1.357,0.000,0.000,-0.262,-0.689,-0.885,-1.000,0.142,1.404,-0.516,-0.851,0.000,-0.491,0.253,-0.225,-0.446,0.289,-1.000,-0.136,0.000,0.000,0.961,-0.136,115.000
-1.728,-0.447,1.833,0.674,0.000,0.000,-1.382,-1.592,-0.537,-1.000,0.142,0.116,-0.235,-1.036,0.000,-0.529,1.175,0.888,-0.516,-1.676,-1.000,-0.782,0.000,0.000,0.353,0.544,114.000
-1.728,-0.433,1.010,-0.690,0.000,0.000,-1.122,-1.315,-0.556,-1.000,0.142,0.455,-0.798,-0.787,0.000,-0.716,0.592,0.471,-0.438,-0.772,-1.000,0.510,0.000,0.000,0.463,0.207,113.000
-1.728,-0.418,-0.087,-1.373,0.000,0.000,-1.482,0.234,-1.706,-1.000,0.142,0.613,-0.516,-0.977,0.000,0.370,0.144,0.054,-0.477,-0.497,-1.000,-0.782,0.000,0.000,0.408,0.661,112.000
-1.728,-0.404,-0.819,-1.373,0.000,0.000,0.098,-0.930,-0.766,-1.000,0.142,0.579,0.047,-0.903,0.000,-0.416,0.334,-0.642,-0.780,-0.465,-1.000,-0.782,0.000,0.000,-0.256,0.769,111.000
-1.728,-0.389,-0.545,0.333,0.000,0.000,-1.282,-0.237,-1.085,-1.000,0.142,0.918,0.047,-0.771,0.000,-1.090,0.727,-0.920,-0.509,-1.161,-1.000,-0.136,0.000,0.000,0.408,-0.170,110.000
-1.728,-0.375,0.187,1.698,0.000,0.000,-0.042,-0.403,-0.284,-1.000,0.142,0.138,-0.235,-0.732,0.000,-1.203,0.700,-0.642,-0.652,-0.782,-1.000,-1.427,0.000,0.000,-0.090,0.348,109.000
-1.728,-0.360,0.233,0.674,0.000,0.000,-0.082,-0.816,-0.259,-1.000,0.142,0.613,-0.657,-0.669,0.000,-0.603,0.172,-0.503,-0.640,-0.753,-1.000,-0.782,0.000,0.000,-0.477,-0.225,108.000
-1.728,-0.346,1.147,1.016,0.000,0.000,-0.802,-0.066,-0.330,-1.000,0.142,1.166,-1.221,-0.415,0.000,-0.678,1.202,-0.642,-0.443,0.207,-1.000,-0.782,0.000,0.000,1.072,-0.053,107.000
-1.728,-0.331,-0.545,1.357,0.000,0.000,-1.682,-0.281,-0.597,-1.000,0.142,0.364,0.047,-0.814,0.000,-0.603,0.551,-0.086,-0.718,-0.662,-1.000,0.510,0.000,0.000,0.685,0.968,106.000
-1.728,-0.317,0.004,-1.373,0.000,0.000,-0.702,-0.625,0.463,-1.000,0.142,0.827,0.611,-0.667,0.000,-0.753,0.022,-0.503,-0.699,-0.255,-1.000,-1.427,0.000,0.000,0.353,0.466,105.000
-1.728,-0.302,1.330,1.016,0.000,0.000,-1.442,-1.506,-0.316,-1.000,0.142,1.257,-0.375,-0.838,0.000,-0.304,1.066,-0.781,-0.644,0.439,-1.000,-0.782,0.000,0.000,0.463,0.175,104.000
-1.728,-0.288,0.370,-0.349,0.000,0.000,-0.882,-0.945,-0.746,-1.000,0.142,0.613,-0.657,-0.453,0.000,-0.304,0.185,-0.225,-0.451,0.180,-1.000,-0.782,0.000,0.000,0.740,0.361,103.000
-1.728,-0.273,0.781,-0.349,0.000,0.000,-0.022,-1.002,0.444,-1.000,0.142,-0.551,0.047,-0.633,0.000,-0.828,0.104,-0.086,-0.736,-1.228,-1.000,-1.427,0.000,0.000,0.906,1.677,102.000
-1.728,-0.259,1.147,-1.373,0.000,0.000,-1.402,-0.927,-0.464,-1.000,0.142,0.195,-0.798,-0.658,0.000,-0.828,0.185,0.054,-0.490,-1.260,-1.000,0.510,0.000,0.000,1.625,0.873,101.000
-1.728,-0.244,0.461,-0.690,0.000,0.000,0.418,-0.080,-0.907,-1.000,0.142,0.500,0.611,-0.765,0.000,-0.341,0.673,-0.642,-0.648,-1.172,-1.000,-0.782,0.000,0.000,0.961,0.577,100.000
-1.728,-0.230,1.467,0.674,0.000,0.000,0.338,0.525,-0.050,-1.000,0.142,0.793,-0.375,-0.787,0.000,-0.304,0.022,-0.225,-0.556,-0.564,-1.000,-0.782,0.000,0.000,0.242,-0.388,99.000
-1.728,-0.215,-0.956,0.674,0.000,0.000,-0.462,-1.183,-0.444,-1.000,0.142,0.556,0.752,-0.879,0.000,-0.229,0.266,-0.364,-0.595,0.273,-1.000,-0.136,0.000,0.000,0.187,0.795,98.000
-1.728,-0.200,0.873,1.016,0.000,0.000,0.358,-2.108,0.130,-1.000,0.142,0.613,-1.080,-0.742,0.000,-0.603,0.687,-1.059,-0.636,0.409,-1.000,0.510,0.000,0.000,-0.311,0.344,97.000
-1.728,-0.186,-1.550,0.333,0.000,0.000,-0.982,-1.053,-1.530,-1.000,0.142,-0.031,-0.375,-0.749,0.000,-0.566,0.334,-0.503,-0.685,-0.295,-1.000,-0.782,0.000,0.000,0.353,0.331,96.000
-1.728,-0.171,1.604,-1.032,0.000,0.000,-1.222,0.856,-0.125,-1.000,0.142,0.036,-0.094,-0.867,0.000,-0.304,0.348,-0.503,-0.787,-0.844,-1.000,-0.782,0.000,0.000,1.072,0.061,95.000
-1.728,-0.157,0.278,1.357,0.000,0.000,-1.362,0.096,-0.486,-1.000,0.142,-0.698,-0.516,-0.895,0.000,-0.641,1.216,-0.503,-0.832,-1.092,-1.000,-1.427,0.000,0.000,0.795,-0.317,94.000
-1.728,-0.142,-0.225,-0.008,0.000,0.000,-0.442,0.360,-0.312,-1.000,0.142,0.443,-0.235,-0.910,0.000,-0.529,0.009,0.054,-0.628,0.159,-1.000,-0.136,0.000,0.000,0.021,-0.530,93.000
-1.728,-0.128,-0.956,-1.032,0.000,0.000,-0.922,-0.146,0.268,-1.000,0.142,0.963,-0.375,-0.884,0.000,0.370,0.185,-0.225,-0.590,-0.481,-1.000,-0.782,0.000,0.000,0.629,1.102,92.000
-1.728,-0.113,0.553,1.016,0.000,0.000,0.138,-1.035,-0.614,-1.000,0.142,0.003,-0.516,-0.586,0.000,0.295,0.646,-0.225,-0.932,-0.183,-1.000,-1.427,0.000,0.000,-0.367,1.157,91.000
-1.728,-0.099,0.781,1.698,0.000,0.000,0.338,-0.230,-0.613,-1.000,0.142,0.059,0.752,-0.629,0.000,-0.192,-0.045,-0.642,-0.700,0.372,-1.000,-0.136,0.000,0.000,0.685,0.698,90.000
-1.728,-0.084,-0.590,0.333,0.000,0.000,-0.942,-1.509,-0.636,-1.000,0.142,0.308,-0.094,-0.542,0.000,0.108,-0.005,0.054,-1.015,-0.423,-1.000,-0.782,0.000,0.000,-0.699,1.286,89.000
-1.728,-0.070,-0.042,0.333,0.000,0.000,-0.782,0.017,-0.298,-1.000,0.142,0.330,-0.235,-0.929,0.000,-0.753,1.310,-0.086,-0.622,-1.068,-1.000,-0.782,0.000,0.000,0.795,0.458,88.000
-1.728,-0.055,1.101,1.357,0.000,0.000,-1.342,-0.366,-0.635,-1.000,0.142,-0.291,-0.094,-0.765,0.000,-0.866,0.538,-0.225,-0.511,-0.255,-1.000,-0.136,0.000,0.000,-0.256,0.887,87.000
-1.728,-0.041,0.004,0.333,0.000,0.000,-0.002,-0.240,-0.498,-1.000,0.142,0.262,-0.235,-0.698,0.000,-0.379,0.131,-0.086,-0.911,0.647,-1.000,-0.782,0.000,0.000,1.459,1.156,86.000
-1.728,-0.026,-0.545,-0.349,0.000,0.000,-0.302,0.751,-0.134,-1.000,0.142,0.421,-0.375,-0.750,0.000,-0.716,0.456,-0.364,-0.595,-0.481,-1.000,1.801,0.000,0.000,1.072,1.098,85.000
-1.728,-0.012,0.370,0.333,0.000,0.000,1.618,-0.752,-1.051,-1.000,0.142,1.200,0.611,-0.825,0.000,0.258,0.144,-0.920,-0.641,-0.769,-1.000,-0.136,0.000,0.000,-0.367,0.125,84.000
-1.728,0.003,-0.499,-1.032,0.000,0.000,-0.382,-0.664,0.018,-1.000,0.142,0.251,0.047,-0.639,0.000,0.145,0.280,0.193,-0.670,-1.772,-1.000,0.510,0.000,0.000,1.293,0.613,83.000
-1.728,0.017,0.004,1.357,0.000,0.000,-0.262,-0.084,-0.851,-1.000,0.142,0.805,0.470,-0.627,0.000,0.033,0.809,0.332,-0.870,0.577,-1.000,-0.136,0.000,0.000,1.348,0.050,82.000
-1.728,0.032,0.370,1.357,0.000,0.000,-0.022,-1.002,-0.092,-1.000,0.142,0.138,0.329,-0.616,0.000,0.295,0.158,0.610,-0.595,0.068,-1.000,-0.782,0.000,0.000,0.574,-0.704,81.000
-1.728,0.046,0.233,1.016,0.000,0.000,-0.042,-0.663,-0.788,-1.000,0.142,-0.201,-0.516,-0.632,0.000,-1.203,0.660,-0.225,-0.641,0.063,-1.000,0.510,0.000,0.000,0.131,0.286,80.000
